09:14:28,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:14:38,138272,ILASP,19.9g,19.4g,12476,99.2,2.6
09:14:48,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:14:58,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:15:08,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:15:18,138272,ILASP,19.9g,19.4g,12476,99.1,2.6
09:15:28,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:15:38,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:15:48,138272,ILASP,19.9g,19.4g,12476,99.1,2.6
09:15:58,138272,ILASP,19.9g,19.4g,12476,99.1,2.6
09:16:08,138272,ILASP,19.9g,19.4g,12476,98.9,2.6
09:16:18,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:16:28,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:16:38,138272,ILASP,19.9g,19.4g,12476,99.1,2.6
09:16:48,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:16:58,138272,ILASP,19.9g,19.4g,12476,99.1,2.6
09:17:08,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:17:18,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:17:28,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:17:38,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:17:48,138272,ILASP,19.9g,19.4g,12476,99.1,2.6
09:17:58,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:18:08,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:18:18,138272,ILASP,19.9g,19.4g,12476,98.9,2.6
09:18:28,138272,ILASP,19.9g,19.4g,12476,99.1,2.6
09:18:38,138272,ILASP,19.9g,19.4g,12476,99.1,2.6
09:18:48,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:18:58,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:19:08,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:19:18,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:19:28,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:19:38,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:19:48,138272,ILASP,19.9g,19.4g,12476,99.1,2.6
09:19:58,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:20:08,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:20:18,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:20:28,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:20:38,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:20:48,138272,ILASP,19.9g,19.4g,12476,99.1,2.6
09:20:58,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:21:08,138272,ILASP,19.9g,19.4g,12476,99.1,2.6
09:21:18,138272,ILASP,19.9g,19.4g,12476,98.9,2.6
09:21:28,138272,ILASP,19.9g,19.4g,12476,99.1,2.6
09:21:38,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:21:48,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:21:58,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:22:08,138272,ILASP,19.9g,19.4g,12476,99.2,2.6
09:22:18,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:22:28,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:22:38,138272,ILASP,19.9g,19.4g,12476,98.9,2.6
09:22:48,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:22:58,138272,ILASP,19.9g,19.4g,12476,99.1,2.6
09:23:08,138272,ILASP,19.9g,19.4g,12476,99.1,2.6
09:23:18,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:23:28,138272,ILASP,19.9g,19.4g,12476,99.1,2.6
09:23:38,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:23:48,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:23:58,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:24:08,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:24:18,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:24:28,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:24:38,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:24:48,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:24:58,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:25:08,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:25:18,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:25:28,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:25:38,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:25:49,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:25:59,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:26:09,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:26:19,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:26:29,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:26:39,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:26:49,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:26:59,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:27:09,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:27:19,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:27:29,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:27:39,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:27:49,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:27:59,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:28:09,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:28:19,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:28:29,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:28:39,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:28:49,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
